"id","name","description","address","zone","total_units","is_active","created_at"
"f251bf5d-526c-444b-942d-aafef336eda3","Koah","","","","5","true","2025-11-24T23:56:15.799Z"
"558fc8b7-0fe8-46d9-9af3-59157d2e2da9","Kune","","","","1","true","2025-11-24T23:56:15.911Z"
"66158e32-0e18-47bb-ab73-b1b286afcc1e","Kuukum","","","","2","true","2025-11-24T23:56:16.023Z"
"8ec7b02a-7407-460b-b8f5-5555505923b2","La Coordenada Perfecta","","","","1","true","2025-11-24T23:56:16.136Z"
"bf907af8-323c-4099-b89a-2cabfb27b44d","La Privada","","","","1","true","2025-11-24T23:56:16.247Z"
"5160db94-c5df-4151-b980-e1fb41e03c9f","La Veleta Luxury","","","","3","true","2025-11-24T23:56:16.358Z"
"6e1a2115-a852-487f-a98b-39f2e0b800eb","Lighthouse","","","","1","true","2025-11-24T23:56:16.470Z"
"90213d6a-8845-468c-87d6-a0ef711defc2","Lik Zama","","","","2","true","2025-11-24T23:56:16.581Z"
"933837ee-1faf-4217-a8f8-d56e65156bee","Limas Tulum","","","","8","true","2025-11-24T23:56:16.693Z"
"7f2b6d03-26ee-443a-aab9-73030911ebe6","Local Anemona","","","","3","true","2025-11-24T23:56:16.805Z"
"b3ea3712-2f44-4668-8c4c-098b04f93705","Local Comercial","","","","1","true","2025-11-24T23:56:16.917Z"
"7990d4f8-ad7a-43ed-ba70-fed1b37f74b1","Locales Parques Zama","","","","7","true","2025-11-24T23:56:17.030Z"
"de6b1236-d8da-41c2-a0bf-5ee76ac10a20","Locales Plaza Hexa","","","","1","true","2025-11-24T23:56:17.142Z"
"d120fb32-8330-4a1f-904d-91a625cfd776","Loch Condo","","","","3","true","2025-11-24T23:56:17.253Z"
"eb943872-0c49-47bf-b496-7fc619f85485","Loft Andador Kaan","","","","2","true","2025-11-24T23:56:17.365Z"
"646ebd77-cfed-4edc-8e96-076e1f6a12e4","Loft Mayapax","","","","1","true","2025-11-24T23:56:17.476Z"
"835c4cac-bf83-441a-88e8-ee59b22b171a","Lool Village","","","","1","true","2025-11-24T23:56:17.588Z"
"71e242f2-0e35-4d64-8239-cc70a3198c29","Luna Residence","","","","2","true","2025-11-24T23:56:17.700Z"
"18242b02-7c70-46ce-ae3b-93db3b1bee79","Luxury Apartment","","","","1","true","2025-11-24T23:56:17.813Z"
"e71c33eb-f26e-47d8-b21b-866bc152329c","Luxury Condo","","","","1","true","2025-11-24T23:56:17.925Z"
"992c7353-0fb1-4640-94ee-5a1c643b9990","Luz Tulum","","","","4","true","2025-11-24T23:56:18.041Z"
"9ba531a7-a190-4988-ba79-18372be0e6b4","Macario Gomez","","","","1","true","2025-11-24T23:56:18.152Z"
"b4d3c86e-16ec-4dcc-911b-9cbbb3d7933c","Macondo","","","","1","true","2025-11-24T23:56:18.264Z"
"c02ecd3b-bc2a-4430-bdd5-ea9b02f34429","Magnolias","","","","1","true","2025-11-24T23:56:18.377Z"
"113cb9f0-2cee-43f5-8f65-18a454185642","Maia","","","","1","true","2025-11-24T23:56:18.489Z"
"1ad8ee3e-31f3-4cb1-9b23-200c5875b457","Majaro","","","","1","true","2025-11-24T23:56:18.602Z"
"8f97e735-8080-476c-9686-33e35d1d9fbf","Mama Blue","","","","4","true","2025-11-24T23:56:18.715Z"
"a83ba911-665f-49d5-b2d3-4f1a6f5b014f","Mareas Condo","","","","2","true","2025-11-24T23:56:18.826Z"
"61b7a110-b7ff-44f5-8210-21ddfab0d1c0","Maria Tulum","","","","9","true","2025-11-24T23:56:18.939Z"
"3c346ad0-8f3a-49b5-958b-6471bbdc5a27","Mayapax","","","","1","true","2025-11-24T23:56:19.051Z"
"96ea15ec-2ea6-47c3-9c9f-bfb07b87e4a7","Menesse","","","","2","true","2025-11-24T23:56:19.163Z"
"9a93ddcc-760a-4085-9520-24245168a328","Miel Y Almendras","","","","2","true","2025-11-24T23:56:19.275Z"
"9082f39c-7099-45ce-9a4b-258c594a282a","Mirak","","","","1","true","2025-11-24T23:56:19.389Z"
"768411b0-34f8-48f4-b744-6fd2e366c27d","Miraluna","","","","10","true","2025-11-24T23:56:19.502Z"
"95fe3cf3-7def-4a4c-9e7e-40fb23da2283","Mistiq Gardens I","","","","30","true","2025-11-24T23:56:19.614Z"
"4a494d2e-f752-4973-88ac-19402a8de0b5","Mistiq Gardens II","","","","6","true","2025-11-24T23:56:19.728Z"
"cef2b00d-92f9-452e-a97a-59ae3f3cfac4","Mistiq Temple I","","","","25","true","2025-11-24T23:56:19.840Z"
"2928cf44-b35e-4fea-a4e8-68ebe2fb1a1a","Mistiq Temple II","","","","29","true","2025-11-24T23:56:19.953Z"
"d44e08ec-51d4-4549-8e2a-56fdd8444d33","Mistiq Tulum","","","","31","true","2025-11-24T23:56:20.069Z"
"ad88b417-f517-48a3-b33f-1071b1541fc5","Mistiq Villas","","","","10","true","2025-11-24T23:56:20.181Z"
"b99c977b-7251-4ac9-bd7c-a11b34b2e063","Mulatte","","","","3","true","2025-11-24T23:56:20.295Z"
"8f950eb3-d946-4bd7-aa21-8a948acbb5c2","Mun Townhouse","","","","7","true","2025-11-24T23:56:20.406Z"
"af736c60-e116-4552-8f4c-4cac6247cd8c","Mun Tulum","","","","1","true","2025-11-24T23:56:20.518Z"
"78f5c575-5c04-48f7-8076-a7729f0f56be","Muuk","","","","5","true","2025-11-24T23:56:20.629Z"
"ca985318-03fe-41be-afad-91c0df93b55f","Mz 65 Ed B2 Dto 302","","","","1","true","2025-11-24T23:56:20.741Z"
"c4f3c05f-caaf-45b0-85ef-df29e9c06c1a","Mza 24 Lt1 Uc2 C. 302 J2","","","","1","true","2025-11-24T23:56:20.854Z"
"1116ca08-4bd5-4ff0-9f3c-51e0b495c549","Mza.22 Ed. R1 Dpto 202","","","","1","true","2025-11-24T23:56:20.965Z"
"c3862f55-eafb-45e5-95fc-026277c26551","Naab","","","","2","true","2025-11-24T23:56:21.077Z"
"27dbac5b-93c8-43c0-9330-b141be34341d","Nadet","","","","4","true","2025-11-24T23:56:21.188Z"
"95dc5bef-ce46-4316-ad97-a68879fcbc8b","Naia Naay","","","","3","true","2025-11-24T23:56:21.301Z"
"24d36bb5-7eb1-440c-baa5-0da01ce96608","Naia Tulum","","","","8","true","2025-11-24T23:56:21.415Z"
"79b15be2-a413-4396-bea8-4cd23b0727f8","Naj Tulum","","","","2","true","2025-11-24T23:56:21.527Z"
